timestamp,Gender,Age,_Sector,_Department,Familiarity,Resistance,Openness,Usage,Tools,Motivations,Issues,IssuesDetails,Trust,Concerns,LossOfAutonomy,ReducedThinking,FearOfJobLoss,FearOfJobLossDetails,OtherConcerns,OtherConcernsDetails,Involved,WantToBeInvolved,ImpactOfBeingInvolved,WillingnessForTraining,Suggestions,Sector,Department,SupportDepartment,*Familiarity,*Openness,*Usage,*LossOfAutonomy,*ReducedThinking,*WillingnessForTraining
07/05/2024 11:30:33,Femme,25-35 ans,Immobilier,Finance/Comptabilité,Un peu familier,Non,Très ouvert,Jamais,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Accès à des recommandations personnalisées', 'Simplification des tâches quotidiennes'}",Oui,,4,Non,Un peu,Un peu,Non,Parce que je doute que l’IA puisse juger des situations par un prisme autre que rationnel. Les décisions prises dans le monde professionnel vont souvent au delà de réflexes automatiques. La négociation et la relation humaine avec les clients entrent aussi en compte notamment.,Non,,Mon entreprise n'utilise pas l’IA,Non,Oui,"Oui, certainement",,Immobilier et Construction,Finance et Comptabilité,sup,1,3,0,1.0,1.0,2
07/05/2024 11:38:29,Femme,45-55 ans,Technologies de l'information et de la communication (TIC),Gestion de projet,Pas du tout familier,Non,Très ouvert,Rarement,{'Reconnaissance faciale/biometrique'},"{'Gain de temps', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,4,Non,Pas du tout,Pas du tout,Non,"Utiliser à bon escient, l'IA peut faire gagner du temps, en productivité et efficacité. Elle pourrait permettre d'alerter sur des erreurs ""simples"" (erreur de saisie, faute d'orthographe,...).",Non,,Non,Oui,Oui,"Oui, certainement","Pas de remarque, juste une saine curiosité",TIC,Gestion de Projet,opé,0,3,1,0.0,0.0,2
07/05/2024 11:42:24,Femme,18-25 ans,Immobilier,Gestion de projet,"Oui, très familier",Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Accès à des recommandations personnalisées', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Un peu,Un peu,Non,"Il manque la qualité humaine à IA qui est, selon moi, primordial dans n'importe quel secteur.",Non,,Non,Oui,Oui,Peut-être,,Immobilier et Construction,Gestion de Projet,opé,2,2,1,1.0,1.0,1
07/05/2024 11:46:15,Homme,45-55 ans,Industrie,Production/Fabrication,Un peu familier,Non,Plutôt ouvert,Parfois,"{'Prise de decision', 'Assistant vocal', 'Language Model'}",{'Gain de temps'},Oui,sans formation à l'IA j'ai decouvert l'importance de préciser le contexte d'une recherche pour obtenir plus de resultat probant,3,Oui,Pas du tout,Un peu,Non,pas à cour terme 3 à 5 ans,Non,,Non,Oui,Oui,"Oui, certainement","Je fait le parallèle avec l'arrivé de l'informatique dans mon entreprises , ce nouvelle outils demandes des informations pour démystifié et des formation pour maitrisé l'usage et une conduite de changement.",Industrie et Technique,Production,opé,1,2,2,0.0,1.0,2
07/05/2024 11:59:14,Homme,35-45 ans,Technologies de l'information et de la communication (TIC),Gestion de projet,Pas du tout familier,Non,Plutôt ouvert,Jamais,{'Reconnaissance faciale/biometrique'},"{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,2,Non,Pas du tout,Un peu,Non,"mon travail est plutôt spécifique, donc peu de chances qu'une IA puisse me remplacer",Non,,Non,Oui,Oui,"Oui, certainement",trouver un juste équilibre entre le travail pré-mâché par l'IA et la capacité de réflexion et le libre arbitre qui doit rester chez l'humain,TIC,Gestion de Projet,opé,0,2,0,0.0,1.0,2
07/05/2024 12:09:18,Femme,45-55 ans,Immobilier,Direction,Pas du tout familier,Non,Plutôt ouvert,Jamais,{'Autres'},{'Simplification des tâches quotidiennes'},Je ne m'en suis jamais servi,,3,Oui,Un peu,Un peu,Non,NON CONCERNEE,Non,,Mon entreprise n'utilise pas l’IA,Non,Non,Peut-être,,Immobilier et Construction,Direction et Management,dir,0,2,0,1.0,1.0,1
07/05/2024 12:18:54,Femme,35-45 ans,Immobilier,Finance/Comptabilité,Un peu familier,Non,Plutôt ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité'}",Non,,3,Non,Pas du tout,Pas du tout,Non,I y a une forte analyse dans mes fonctions qui ne pourraient etre géré seulement par l'IA une vérification s'impose.,Non,,Non,Oui,Oui,"Oui, certainement","Non,",Immobilier et Construction,Finance et Comptabilité,sup,1,2,3,0.0,0.0,2
07/05/2024 12:22:47,Homme,25-35 ans,Immobilier,Finance/Comptabilité,Pas du tout familier,Non,Plutôt ouvert,Parfois,{'Language Model'},{'Amélioration de la productivité'},Non,,3,Non,Moyennement,Considérablement,Non,-,Non,,Non,Oui,Oui,Peut-être,,Immobilier et Construction,Finance et Comptabilité,sup,0,2,2,2.0,3.0,1
07/05/2024 12:27:20,Homme,55 ans et plus,Technique automatismes,Services techniques,Pas du tout familier,Non,Plutôt réticent,Parfois,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,2,Oui,Moyennement,Un peu,Non,Car ne travail pas à ma place trop manuel !,Non,,Non,Oui,Oui,"Oui, certainement",À utiliser avec prudence,Industrie et Technique,Services Techniques et Exploitation,sup,0,1,2,2.0,1.0,2
07/05/2024 12:28:54,Homme,45-55 ans,Technologies de l'information et de la communication (TIC),IT (Technologies de l'Information),Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}","{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,La pertinence de la demande doit être de rigueur,3,Oui,Un peu,Pas du tout,Non,Derrière une création il y a toujours un créateur,Non,,Non,Non,Oui,Peut-être,,TIC,TIC,opé,1,2,1,1.0,0.0,1
07/05/2024 13:37:23,Femme,45-55 ans,Immobilier,Ressources Humaines,Un peu familier,Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Pas du tout,Pas du tout,Non,"L'IA est un ""super assistant"" qui certes peut faire gagner du temps mais nécessitant une gestion/contrôle et pilotage humain",Non,,Oui,Oui,Oui,"Oui, certainement","Il est essentiel que chaque entreprise (comme c'est le cas pour Altarea) intègre l'IA dans son fonctionnement et définisse les ""règles du jeu"" en terme d'utilisation ainsi que les cas d'usage les plus pertinents selon son type d'activité, services... Je vous invite (mais j'imagine que c'est déjà fait) à contacter la DSI, Valérie Brébant étant en charge de ce sujet stratégique. 
Bon thème de mémoire, assurément :-)",Immobilier et Construction,RH,sup,1,3,2,0.0,0.0,2
07/05/2024 13:45:52,Femme,35-45 ans,Énergie et environnement,Production/Fabrication,Pas du tout familier,Oui,Plutôt réticent,Parfois,{'Reconnaissance faciale/biometrique'},{'Simplification des tâches quotidiennes'},Non,,2,Oui,Moyennement,Considérablement,Oui,J'ai un emploi tertiaire,Non,,Non,Non,Non,"Oui, certainement",Non,Énergie et Environnement,Production,opé,0,1,2,2.0,3.0,2
07/05/2024 13:59:06,Femme,18-25 ans,Énergie et environnement,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Parfois,{'Language Model'},"{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Un peu,Un peu,Non,,Non,,Non,Non,Non,"Oui, certainement",,Énergie et Environnement,Gestion de Projet,opé,1,2,2,1.0,1.0,2
07/05/2024 14:12:13,Femme,25-35 ans,Construction et génie civil,Technique,Un peu familier,Oui,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Accès à des recommandations personnalisées'}",Non,,2,Non,Considérablement,Considérablement,Non,Parce que mon travail nécessite beaucoup de réflexion et d'échanges avec les différents acteurs.,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Services Techniques et Exploitation,opé,1,2,1,3.0,3.0,2
07/05/2024 14:39:10,Femme,18-25 ans,"Services professionnels (consulting, juridique, comptabilité, etc.)",Gestion de projet,"Oui, très familier",Non,Plutôt ouvert,Parfois,{'Language Model'},"{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,3,Oui,Un peu,Moyennement,Non,L’expertise d’un humain ne peut pas être remplacée,Non,,Oui,Oui,Oui,"Oui, certainement",,Services Professionnels,Gestion de Projet,opé,2,2,2,1.0,2.0,2
07/05/2024 15:23:23,Femme,18-25 ans,Technologies de l'information et de la communication (TIC),Gestion de projet,Un peu familier,Non,Plutôt ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité'}",Non,,4,Non,Un peu,Un peu,Non,,Non,,Mon entreprise n'utilise pas l’IA,Non,Oui,Peut-être,,TIC,Gestion de Projet,opé,1,2,2,1.0,1.0,1
07/05/2024 16:06:21,Femme,25-35 ans,Immobilier,Gestion de projet,Pas du tout familier,Non,Plutôt ouvert,Parfois,"{'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Oui,Réponses parfois hors sujet,3,Non,Pas du tout,Pas du tout,Non,"Les taches que j'exerce à mon poste nécessitent des interactions humaines. De la négociation avec des mairies et des études avec des bureaux d'étude. À part le suivi financier des opérations, je ne pense pas qu'une IA puisse remplacer un humain à ce poste.",Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Gestion de Projet,opé,0,2,2,0.0,0.0,2
07/05/2024 16:06:52,Homme,45-55 ans,Immobilier,Direction,Un peu familier,Non,Très ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,2,Non,Pas du tout,Pas du tout,Non,RAS,Non,RAS,Oui,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Direction et Management,dir,1,3,1,0.0,0.0,2
07/05/2024 16:14:49,Femme,25-35 ans,Immobilier,Finance/Comptabilité,Pas du tout familier,Non,Plutôt ouvert,Jamais,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,3,Non,Moyennement,Moyennement,Non,besoin d'une réflexion humaine,Non,,Non,Non,Oui,"Oui, certainement",,Immobilier et Construction,Finance et Comptabilité,sup,0,2,0,2.0,2.0,2
07/05/2024 16:26:26,Femme,18-25 ans,Construction et génie civil,Production/Fabrication,Un peu familier,Non,Très ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,4,Oui,Un peu,Considérablement,Oui,IA plus efficace,Non,,Non,Oui,Oui,Peut-être,,Immobilier et Construction,Production,opé,1,3,3,1.0,3.0,1
07/05/2024 16:55:03,Femme,45-55 ans,Immobilier,developpement,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,1,Oui,Moyennement,Un peu,Non,Permet de se concentrer sur d'autres taches,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,R&D,opé,1,2,1,2.0,1.0,2
07/05/2024 17:21:21,Femme,18-25 ans,Immobilier,Marketing/Communication,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Oui,Un peu,Moyennement,Non,L'IA ne pourra pas remplacer le raisonnement approfondie d'un humain.,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Ventes et Marketing,sup,1,2,1,1.0,2.0,2
07/05/2024 17:44:43,Homme,18-25 ans,Commerce de gros,Marketing/Communication,"Oui, très familier",Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Oui,pas très fiable,3,Non,Un peu,Pas du tout,Non,je suis irremplaçable,Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement",,Commerce & Marketing,Ventes et Marketing,sup,2,2,1,1.0,0.0,2
07/05/2024 18:38:59,Homme,18-25 ans,Recherche,R&D,"Oui, très familier",Non,Très ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Oui,Code informatique,3,Non,Un peu,Considérablement,Non,"Je travaille dans le domaine de la physique, l’IA ne reste qu’un outil",Non,,Non,Oui,Oui,"Oui, certainement",,Recherche,R&D,opé,2,3,3,1.0,3.0,2
07/05/2024 19:08:02,Femme,18-25 ans,Technologies de l'information et de la communication (TIC),R&D,"Oui, très familier",Non,Plutôt ouvert,Parfois,{'Language Model'},"{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,"Le fait de partager des données personnelles, sensibles",4,Oui,Un peu,Moyennement,Non,Je pense plutôt que l'IA sera une aide précieuse pour être plus productive et se focaliser sur les tâches à plus haute valeur ajoutée,Oui,La perte de savoir faire,Non,Oui,Oui,"Oui, certainement","L'IA est un très bon outils mais il doit être utilisé avec modération, au risque de perdre du savoir faire dans l'entreprise",TIC,R&D,opé,2,2,2,1.0,2.0,2
07/05/2024 19:34:41,Homme,35-45 ans,Industrie,Qualité,"Oui, très familier",Non,Très ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,Imprécision des réponses (chiffres faux par exemple),3,Non,Un peu,Pas du tout,Non,"L'IA va faire gagner de la productivité mais ne remplacera pas le besoin humain que ce soit pour la réflexion, la creatovité @83",Non,"L'IA ne remplacera à mon avis pas l'humain dans la prise de décision rapide et synthétique sur des sujets complexes, multifactoriels et nécessitant une forte adaptation au contexte et aux objectifs recherchés",Oui,Oui,Oui,"Oui, certainement",,Industrie et Technique,Qualité,opé,2,3,3,1.0,0.0,2
07/05/2024 19:35:06,Homme,18-25 ans,Finance et assurance,Vente/Commercialisation,"Oui, très familier",Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,Manque de précision sur l’IA générative textuelle,1,Non,Pas du tout,Pas du tout,Non,,Non,,Oui,Oui,Oui,"Oui, certainement",,Finance et Assurance,Ventes et Marketing,opé,2,3,2,0.0,0.0,2
07/05/2024 20:45:12,Homme,55 ans et plus,Énergie et environnement,Production/Fabrication,"Oui, très familier",Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,Des mauvaises réponses !,3,Oui,Un peu,Moyennement,Non,Facilite mais re remplace pas tout,Non,,Non,Oui,Oui,"Oui, certainement",,Énergie et Environnement,Production,opé,2,3,2,1.0,2.0,2
07/05/2024 21:04:28,Femme,18-25 ans,Industrie,R&D,Un peu familier,Non,Très ouvert,Jamais,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Pas du tout,Un peu,Non,.,Non,,Non,Non,Oui,"Oui, certainement",,Industrie et Technique,R&D,opé,1,3,0,0.0,1.0,2
07/05/2024 21:45:01,Femme,35-45 ans,Énergie et environnement,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Parfois,{'Language Model'},"{'Gain de temps', 'Accès à des recommandations personnalisées'}",Non,,3,Non,Pas du tout,Pas du tout,Non,C'est un outil,Non,,Non,Oui,Oui,"Oui, certainement",,Énergie et Environnement,Gestion de Projet,opé,1,2,2,0.0,0.0,2
08/05/2024 06:50:35,Homme,35-45 ans,Immobilier,Gestion de projet,Un peu familier,Non,Plutôt ouvert,Rarement,{'Language Model'},"{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Oui,Moyennement,Moyennement,Non,Car prises de décision basées sur de l’expérience,Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Gestion de Projet,opé,1,2,1,2.0,2.0,2
08/05/2024 08:16:33,Homme,45-55 ans,Immobilier,IT (Technologies de l'Information),Un peu familier,Non,Très ouvert,Très souvent,"{'Prise de decision', 'Assistant vocal', 'Gestion des relations client', 'Language Model', 'Reconnaissance faciale/biometrique', 'Autres'}","{'Accès à des recommandations personnalisées', 'Amélioration de la productivité', 'améliorer la qualité des livrables', 'Simplification des tâches quotidiennes'}",Oui,hallucination et résultats à côté de la plaque,3,Non,Pas du tout,Pas du tout,Non,ne remplace pas les ressources humaines,Non,,Oui,Oui,Oui,"Oui, certainement",,Immobilier et Construction,TIC,opé,1,3,3,0.0,0.0,2
08/05/2024 11:20:12,Femme,18-25 ans,Industrie,Gestion de projet,Un peu familier,Oui,Plutôt réticent,Rarement,{'Language Model'},{'Gain de temps'},Non,,2,Oui,Moyennement,Considérablement,Oui,Ils pourront tout faire d'ici peu de temps,Non,,Non,Non,Non,"Oui, certainement",,Industrie et Technique,Gestion de Projet,opé,1,1,1,2.0,3.0,2
08/05/2024 12:09:28,Femme,18-25 ans,Santé et services sociaux,coordination opérationnelle,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Moyennement,Considérablement,Non,contact humain primordiale en résidence sénior,Non,,Non,Oui,Oui,Peut-être,,Santé et Services Sociaux,Gestion de Projet,opé,1,2,1,2.0,3.0,1
08/05/2024 13:22:03,Homme,18-25 ans,Industrie,R&D,Un peu familier,Non,Très ouvert,Jamais,{'Reconnaissance faciale/biometrique'},"{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,Erreur dans la réponse,4,Non,Un peu,Un peu,Non,Mon job ne peut pas être remplacé par une AI vis à vis des responsabilités de mon poste,Non,,Non,Oui,Oui,Peut-être,,Industrie et Technique,R&D,opé,1,3,0,1.0,1.0,1
08/05/2024 13:28:45,Homme,18-25 ans,"Services professionnels (consulting, juridique, comptabilité, etc.)",R&D,"Oui, très familier",Non,Très ouvert,Très souvent,"{'Prise de decision', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Oui,hallucination,4,Oui,Un peu,Un peu,Non,"pas dans l'immédiat, car l'IA ne peut pas encore comprendre les besoins métiers, qui peuvent être complexes et difficilement définissables.",Non,,Oui,Oui,Oui,"Oui, certainement",,Services Professionnels,R&D,opé,2,3,3,1.0,1.0,2
08/05/2024 16:48:39,Homme,18-25 ans,Recherche,R&D,"Oui, très familier",Non,Plutôt ouvert,Très souvent,{'Language Model'},{'Gain de temps'},Non,,3,Non,Un peu,Un peu,Non,Dans la recherche elle m’aide dans des tâches simple mais n’apporte pas de solution à des problèmes complexes,Non,,Oui,Oui,Oui,"Oui, certainement",,Recherche,R&D,opé,2,2,3,1.0,1.0,2
08/05/2024 16:56:51,Femme,45-55 ans,"Services professionnels (consulting, juridique, comptabilité, etc.)",Ressources Humaines,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Moyennement,Un peu,Non,Relations humaines,Non,,Non,Oui,Oui,"Oui, certainement",,Services Professionnels,RH,sup,1,2,1,2.0,1.0,2
08/05/2024 18:52:00,Femme,55 ans et plus,Énergie et environnement,Marketing/Communication,Un peu familier,Non,Très ouvert,Parfois,{'Language Model'},{'Amélioration de la productivité'},Non,,3,Oui,Pas du tout,Pas du tout,Oui,Pas dans l immédiat mais l IA fera évoluer les métiers « cols blanc » comme ça a été le cas avec l automatisation des gestes physiques,Non,,Non,Oui,Oui,"Oui, certainement",,Énergie et Environnement,Ventes et Marketing,sup,1,3,2,0.0,0.0,2
08/05/2024 20:27:08,Homme,45-55 ans,"Services professionnels (consulting, juridique, comptabilité, etc.)",Directeur associé - expert data,"Oui, très familier",Non,Plutôt ouvert,Très souvent,"{'Prise de decision', 'Gestion des relations client', 'Language Model'}","{'Gain de temps', 'Accès à des recommandations personnalisées', 'benchmark et veille', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,hallucination et besoin de vérification faire la preuve (explicabilité),3,Non,Pas du tout,Pas du tout,Non,l'ia c'est l'assistant qui fait qu'on est augmenté pas le remplaçant,Non,,Oui,Oui,Oui,"Oui, certainement",l'IA peut poser une question d'innovation de rupture au delà de l'excellence opérationnelle. il faut considérer 3 natures de valeur l'excellence opérationnelle / l'enrichissement de l'expérience client dans la même activité / l'innovation de rupture (changement de business model type Adeo),Services Professionnels,Direction et Management,dir,2,2,3,0.0,0.0,2
08/05/2024 23:02:56,Homme,55 ans et plus,Industrie,Qualité,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,2,Non,Un peu,Moyennement,Non,L’expertise dans mon domaine n’est pas du ressort de l’IA,Non,,Non,Oui,Oui,"Oui, certainement",,Industrie et Technique,Qualité,opé,1,2,1,1.0,2.0,2
08/05/2024 23:09:56,Homme,25-35 ans,Finance et assurance,R&D,Un peu familier,Non,Plutôt ouvert,Rarement,{'Language Model'},"{'Gain de temps', 'Simplification des tâches quotidiennes'}",Oui,Perfectibilité des modèles,1,Oui,Considérablement,Moyennement,Non,Le gap à combler est important,Oui,Trop de confiance dans l'IA de la part du management,Oui,Oui,Oui,"Oui, certainement",,Finance et Assurance,R&D,opé,1,2,1,3.0,2.0,2
09/05/2024 10:13:43,Homme,25-35 ans,Technologies de l'information et de la communication (TIC),R&D,"Oui, très familier",Non,Plutôt ouvert,Très souvent,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,3,Oui,Moyennement,Moyennement,Non,Mon travail se base sur de la prise de décision selon le contexte et du débug de code en production,Non,,Oui,Oui,Non,"Oui, certainement",,TIC,R&D,opé,2,2,3,2.0,2.0,2
10/05/2024 10:23:05,Femme,45-55 ans,Énergie et environnement,Ressources Humaines,Un peu familier,Non,Très ouvert,Parfois,"{'Prise de decision', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,4,Non,Pas du tout,Considérablement,Non,"Non à partir du moment où j’utilise l’IA comme aide à une réflexion ou dans le futur à des tâches à faible valeur ajoutée pour moi et qui feront gagner du temps, je pense qu’au contraire nous pourront nous consacrer à du travail plus humain",Oui,La confidentialité des données que nous manipulons et donc le cadre d’utilisation de l’IA,Non,Oui,Oui,"Oui, certainement",,Énergie et Environnement,RH,sup,1,3,2,0.0,3.0,2
10/05/2024 11:00:33,Femme,35-45 ans,"Services professionnels (consulting, juridique, comptabilité, etc.)",Gestion de projet,Pas du tout familier,Non,Plutôt ouvert,Jamais,"{'Reconnaissance faciale/biometrique', 'Assistant vocal'}",{'Gain de temps'},Je ne m'en suis jamais servi,,3,Oui,Moyennement,Un peu,Non,"Pour faire fonctionner l'IA, il faut qu'un ordre ou une demande soit formulé par une personne.",Non,,Non,Non,Oui,"Oui, certainement",,Services Professionnels,Gestion de Projet,opé,0,2,0,2.0,1.0,2
10/05/2024 12:11:27,Homme,35-45 ans,Technologies de l'information et de la communication (TIC),Gestion de projet,Un peu familier,Non,Plutôt ouvert,Jamais,{'Reconnaissance faciale/biometrique'},"{'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Considérablement,Un peu,Non,"c'est un outil supplémentaire, il faut toujours un humain pour s'en servir ou pour le mettre en place, du coup...",Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement",,TIC,Gestion de Projet,opé,1,2,0,3.0,1.0,2
10/05/2024 12:41:09,Homme,18-25 ans,Construction et génie civil,R&D,Un peu familier,Non,Plutôt ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Pas du tout,Un peu,Non,Adaptabilité aux envies clients et au relationnel que ne peut pas faire une IA,Non,,Non,Oui,Oui,Peut-être,,Immobilier et Construction,R&D,opé,1,2,1,0.0,1.0,1
10/05/2024 18:14:24,Homme,18-25 ans,Technologies de l'information et de la communication (TIC),IT (Technologies de l'Information),Un peu familier,Non,Très ouvert,Très souvent,{'Language Model'},"{'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,5,Non,Pas du tout,Un peu,Non,Nombre de missions en prestation plus nombreuses que l’amélioration de la productivité,Non,,Non,Oui,Oui,Peut-être,"Penser micro-services 
Très compliqué pour un gros Système d’Informations d’intégrer un agent autonome basé sur de l’IA et qui exécute des actions sur le SI",TIC,TIC,opé,1,3,3,0.0,1.0,1
10/05/2024 19:21:21,Femme,18-25 ans,Construction et génie civil,Gestion de projet,Un peu familier,Non,Très ouvert,Rarement,"{'Reconnaissance faciale/biometrique', 'Language Model'}","{'Gain de temps', 'Accès à des recommandations personnalisées'}",Non,,2,Non,Pas du tout,Un peu,Non,"Non, car quoi qu´il arrive il faudra toujours une double vérification sur les décisions",Non,,Non,Oui,Oui,"Oui, certainement",,Immobilier et Construction,Gestion de Projet,opé,1,3,1,0.0,1.0,2
11/05/2024 13:42:45,Femme,18-25 ans,Industrie,Vente/Commercialisation,"Oui, très familier",Non,Très ouvert,Parfois,"{'Reconnaissance faciale/biometrique', 'Assistant vocal', 'Language Model'}","{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Non,,3,Non,Un peu,Moyennement,Non,"Contact client nécessaire, psychologie et intelligence émotionnelle sont de mise",Non,,Non,Oui,Oui,"Oui, certainement",,Industrie et Technique,Ventes et Marketing,opé,2,3,2,1.0,2.0,2
11/05/2024 23:49:32,Femme,25-35 ans,Médias et divertissement,Production/Fabrication,Pas du tout familier,Non,Plutôt ouvert,Parfois,{'Reconnaissance faciale/biometrique'},"{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Je ne m'en suis jamais servi,,4,Oui,Un peu,Pas du tout,Oui,"L’IA peut créer tous types de contenus et audio, peut être parfois mieux qu’un humain, et surtout plus rapidement",Non,,Mon entreprise n'utilise pas l’IA,Oui,Oui,"Oui, certainement",,Médias et Divertissement,Production,opé,0,2,2,1.0,0.0,2
12/05/2024 09:44:30,Homme,25-35 ans,Industrie,Gestion de projet,Un peu familier,Non,Très ouvert,Jamais,{'Reconnaissance faciale/biometrique'},"{'Gain de temps', 'Amélioration de la productivité', 'Simplification des tâches quotidiennes'}",Oui,IA entraînée sur une base de donnée publique. Nécessite d’entraîner l’IA sur des documents internes non diffusibles.,3,Non,Pas du tout,Un peu,Non,La prise de décision doit rester humaine. L’IA doit être utilisée pour simplifier les tâches quotidiennes.,Non,,Non,Oui,Oui,Peut-être,,Industrie et Technique,Gestion de Projet,opé,1,3,0,0.0,1.0,1
